response_id,survey_id,student_id,fecha,anio,mes,semana,dia_semana,hora,calidad_clase,comprension_tema,evaluacion_docente,comentario,sentimiento_label,sentimiento_score,emo_feliz,emo_neutral,emo_triste,emo_enojado,emo_sorprendido,emocion_predominante,calidad_normalizada,comprension_normalizada,docente_normalizado,datos_completos,outlier_flag
26,17,219,2024-08-26 18:00:00,2024,8,35,0,18,5,4,4,"Me quedó muy claro el tema, gracias",positivo,0.85,0.23,0.135,0.349,0.116,0.169,triste,1.0,0.75,0.75,True,False
27,12,9,2024-11-07 12:00:00,2024,11,45,3,12,4,5,4,Clase muy bien estructurada y organizada,positivo,0.941,0.185,0.198,0.042,0.279,0.296,sorprendido,0.75,1.0,0.75,True,False
28,15,40,2024-08-03 17:00:00,2024,8,31,5,17,5,4,4,"Más o menos, algunos conceptos poco claros",neutral,0.409,0.189,0.096,0.198,0.249,0.267,sorprendido,1.0,0.75,0.75,True,False
29,12,183,2024-04-03 11:00:00,2024,4,14,2,11,5,4,4,La clase fue muy dinámica e interesante,positivo,0.764,0.371,0.351,0.157,0.091,0.03,feliz,1.0,0.75,0.75,True,False
30,18,358,2024-09-01 07:00:00,2024,9,35,6,7,3,1,4,El docente domina el tema perfectamente,positivo,0.842,0.396,0.389,0.153,0.058,0.004,feliz,0.5,0.0,0.75,True,False
31,27,288,2024-08-17 08:00:00,2024,8,33,5,8,5,2,4,Excelente manejo del tiempo y ejemplos,positivo,0.789,0.168,0.283,0.276,0.076,0.198,neutral,1.0,0.25,0.75,True,False
32,10,353,2024-03-16 15:00:00,2024,3,11,5,15,4,4,4,El docente explicó muy rápido,negativo,0.184,0.504,0.187,0.091,0.059,0.158,feliz,0.75,0.75,0.75,True,False
33,2,386,2024-03-28 16:00:00,2024,3,13,3,16,3,5,4,"Más o menos, algunos conceptos poco claros",neutral,0.423,0.184,0.255,0.096,0.21,0.256,sorprendido,0.5,1.0,0.75,True,False
34,17,219,2024-12-17 11:00:00,2024,12,51,1,11,4,4,4,"La clase estuvo bien, aunque faltaron más ejemplos",neutral,0.487,0.115,0.368,0.043,0.378,0.097,enojado,0.75,0.75,0.75,True,False
35,7,272,2024-11-16 07:00:00,2024,11,46,5,7,5,4,5,La clase fue muy dinámica e interesante,positivo,0.775,0.044,0.1,0.301,0.261,0.295,triste,1.0,0.75,1.0,True,False
36,7,91,2024-04-21 12:00:00,2024,4,16,6,12,5,4,3,"Regular, podría mejorar el ritmo",neutral,0.457,0.353,0.073,0.226,0.191,0.157,feliz,1.0,0.75,0.5,True,False
37,18,470,2024-03-05 18:00:00,2024,3,10,1,18,4,1,3,"No entendí casi nada, muy confuso",negativo,0.27,0.022,0.076,0.407,0.337,0.159,triste,0.75,0.0,0.5,True,False
38,9,6,2024-10-27 08:00:00,2024,10,43,6,8,4,4,5,La clase fue muy dinámica e interesante,positivo,0.838,0.091,0.276,0.193,0.252,0.188,neutral,0.75,0.75,1.0,True,False
39,11,337,2024-12-08 08:00:00,2024,12,49,6,8,4,3,4,Excelente manejo del tiempo y ejemplos,positivo,0.884,0.213,0.026,0.077,0.406,0.278,enojado,0.75,0.5,0.75,True,False
40,14,465,2024-07-22 14:00:00,2024,7,30,0,14,4,5,2,Muy buena metodología del docente,positivo,0.934,0.261,0.325,0.19,0.048,0.177,neutral,0.75,1.0,0.25,True,False
41,28,62,2024-06-16 13:00:00,2024,6,24,6,13,4,4,2,"Bien en general, aunque faltó práctica",neutral,0.455,0.268,0.194,0.12,0.277,0.14,enojado,0.75,0.75,0.25,True,False
42,18,257,2024-08-25 16:00:00,2024,8,34,6,16,4,2,5,"No entendí casi nada, muy confuso",negativo,0.146,0.206,0.361,0.23,0.172,0.03,neutral,0.75,0.25,1.0,True,False
43,28,498,2024-04-08 07:00:00,2024,4,15,0,7,4,4,5,Muy buena metodología del docente,positivo,0.838,0.143,0.08,0.005,0.333,0.44,sorprendido,0.75,0.75,1.0,True,False
44,26,236,2024-08-18 16:00:00,2024,8,33,6,16,3,5,2,"Me quedó muy claro el tema, gracias",positivo,0.71,0.222,0.102,0.162,0.347,0.167,enojado,0.5,1.0,0.25,True,False
45,27,52,2024-05-13 12:00:00,2024,5,20,0,12,4,4,4,El docente domina el tema perfectamente,positivo,0.671,0.107,0.329,0.035,0.318,0.211,neutral,0.75,0.75,0.75,True,False
46,6,205,2024-04-21 09:00:00,2024,4,16,6,9,4,4,3,"Más o menos, algunos conceptos poco claros",neutral,0.478,0.051,0.433,0.223,0.136,0.157,neutral,0.75,0.75,0.5,True,False
47,8,477,2024-03-16 12:00:00,2024,3,11,5,12,4,2,5,"Aprendí mucho hoy, muy buena didáctica",positivo,0.808,0.28,0.03,0.279,0.225,0.186,feliz,0.75,0.25,1.0,True,False
48,7,225,2024-09-11 18:00:00,2024,9,37,2,18,2,3,5,"Excelente clase, muy clara la explicación",positivo,0.721,0.24,0.285,0.138,0.33,0.007,enojado,0.25,0.5,1.0,True,False
49,16,170,2024-06-17 11:00:00,2024,6,25,0,11,4,4,5,El docente domina el tema perfectamente,positivo,0.924,0.043,0.204,0.071,0.462,0.219,enojado,0.75,0.75,1.0,True,False
50,26,60,2024-03-12 07:00:00,2024,3,11,1,7,3,5,5,El tema es interesante pero la clase fue larga,neutral,0.361,0.377,0.175,0.151,0.025,0.272,feliz,0.5,1.0,1.0,True,False
51,29,60,2024-08-23 08:00:00,2024,8,34,4,8,3,3,5,La clase fue muy dinámica e interesante,positivo,0.689,0.255,0.208,0.028,0.301,0.209,enojado,0.5,0.5,1.0,True,False
52,3,28,2024-04-17 18:00:00,2024,4,16,2,18,5,3,2,"Regular, podría mejorar el ritmo",neutral,0.473,0.133,0.388,0.261,0.13,0.088,neutral,1.0,0.5,0.25,True,False
53,13,255,2024-07-06 14:00:00,2024,7,27,5,14,4,5,5,"Me quedó muy claro el tema, gracias",positivo,0.737,0.321,0.259,0.171,0.21,0.039,feliz,0.75,1.0,1.0,True,False
54,11,259,2024-06-09 12:00:00,2024,6,23,6,12,4,4,5,"Más o menos, algunos conceptos poco claros",neutral,0.408,0.132,0.178,0.269,0.16,0.26,triste,0.75,0.75,1.0,True,False
55,19,93,2024-09-21 10:00:00,2024,9,38,5,10,5,2,5,"Regular, podría mejorar el ritmo",neutral,0.4,0.17,0.223,0.443,0.088,0.076,triste,1.0,0.25,1.0,True,False
56,11,219,2024-03-29 12:00:00,2024,3,13,4,12,5,5,4,"Me quedó muy claro el tema, gracias",positivo,0.673,0.265,0.113,0.246,0.364,0.011,enojado,1.0,1.0,0.75,True,False
57,29,116,2024-09-15 09:00:00,2024,9,37,6,9,4,5,5,"Más o menos, algunos conceptos poco claros",neutral,0.42,0.055,0.122,0.028,0.308,0.487,sorprendido,0.75,1.0,1.0,True,False
58,5,217,2024-11-12 15:00:00,2024,11,46,1,15,3,3,3,La clase fue aburrida y poco dinámica,negativo,0.074,0.121,0.071,0.372,0.219,0.218,triste,0.5,0.5,0.5,True,False
59,14,283,2024-08-03 07:00:00,2024,8,31,5,7,5,5,5,La clase fue muy dinámica e interesante,positivo,0.937,0.273,0.248,0.262,0.137,0.08,feliz,1.0,1.0,1.0,True,False
60,15,487,2024-08-15 07:00:00,2024,8,33,3,7,4,3,4,La clase fue muy dinámica e interesante,positivo,0.739,0.073,0.245,0.338,0.066,0.278,triste,0.75,0.5,0.75,True,False
61,6,39,2024-08-19 17:00:00,2024,8,34,0,17,5,5,5,"Faltaron ejemplos prácticos, solo teoría",negativo,0.235,0.448,0.069,0.06,0.351,0.07,feliz,1.0,1.0,1.0,True,False
62,21,66,2024-08-10 10:00:00,2024,8,32,5,10,4,3,4,Entendí el tema pero fue un poco rápido,neutral,0.43,0.136,0.069,0.233,0.191,0.371,sorprendido,0.75,0.5,0.75,True,False
63,5,37,2024-03-29 10:00:00,2024,3,13,4,10,4,5,5,Clase muy bien estructurada y organizada,positivo,0.674,0.162,0.304,0.259,0.133,0.142,neutral,0.75,1.0,1.0,True,False
64,22,102,2024-10-22 08:00:00,2024,10,43,1,8,4,3,4,"Excelente clase, muy clara la explicación",positivo,0.689,0.318,0.052,0.067,0.206,0.358,sorprendido,0.75,0.5,0.75,True,False
65,1,321,2024-11-18 17:00:00,2024,11,47,0,17,3,3,5,"Excelente clase, muy clara la explicación",positivo,0.773,0.157,0.321,0.275,0.009,0.238,neutral,0.5,0.5,1.0,True,False
66,8,65,2024-10-02 08:00:00,2024,10,40,2,8,5,4,3,Excelente manejo del tiempo y ejemplos,positivo,0.743,0.292,0.092,0.284,0.125,0.207,feliz,1.0,0.75,0.5,True,False
67,20,290,2024-06-08 09:00:00,2024,6,23,5,9,4,5,4,"Aprendí mucho hoy, muy buena didáctica",positivo,0.68,0.201,0.319,0.305,0.136,0.039,neutral,0.75,1.0,0.75,True,False
68,29,240,2024-08-06 08:00:00,2024,8,32,1,8,5,4,4,El docente domina el tema perfectamente,positivo,0.747,0.111,0.087,0.291,0.431,0.08,enojado,1.0,0.75,0.75,True,False
69,10,6,2024-10-16 09:00:00,2024,10,42,2,9,3,4,4,Muy buena metodología del docente,positivo,0.768,0.183,0.011,0.364,0.211,0.231,triste,0.5,0.75,0.75,True,False
70,26,170,2024-10-24 10:00:00,2024,10,43,3,10,4,3,4,"La clase estuvo bien, aunque faltaron más ejemplos",neutral,0.43,0.055,0.289,0.325,0.285,0.045,triste,0.75,0.5,0.75,True,False
71,26,319,2024-07-15 12:00:00,2024,7,29,0,12,4,3,5,"Aprendí mucho hoy, muy buena didáctica",positivo,0.853,0.343,0.233,0.019,0.357,0.048,enojado,0.75,0.5,1.0,True,False
72,24,290,2024-04-13 17:00:00,2024,4,15,5,17,4,5,5,"No se escuchaba bien, problemas técnicos",negativo,0.32,0.102,0.377,0.184,0.07,0.267,neutral,0.75,1.0,1.0,True,False
73,6,337,2024-03-13 07:00:00,2024,3,11,2,7,1,4,4,"Regular, podría mejorar el ritmo",neutral,0.357,0.076,0.194,0.217,0.313,0.201,enojado,0.0,0.75,0.75,True,False
74,29,333,2024-08-21 07:00:00,2024,8,34,2,7,5,3,1,Muy buena metodología del docente,positivo,0.652,0.214,0.138,0.141,0.254,0.253,enojado,1.0,0.5,0.0,True,False
75,17,336,2024-07-28 17:00:00,2024,7,30,6,17,4,5,4,La clase fue muy dinámica e interesante,positivo,0.858,0.058,0.223,0.031,0.361,0.327,enojado,0.75,1.0,0.75,True,False
76,13,339,2024-10-21 15:00:00,2024,10,43,0,15,3,4,5,El docente domina el tema perfectamente,positivo,0.83,0.152,0.324,0.243,0.271,0.01,neutral,0.5,0.75,1.0,True,False
77,8,6,2024-09-30 10:00:00,2024,9,40,0,10,5,5,4,Muy difícil seguir el ritmo de la clase,negativo,0.344,0.039,0.428,0.061,0.214,0.258,neutral,1.0,1.0,0.75,True,False
78,5,261,2024-10-20 12:00:00,2024,10,42,6,12,4,5,2,"Bien en general, aunque faltó práctica",neutral,0.369,0.152,0.249,0.236,0.2,0.164,neutral,0.75,1.0,0.25,True,False
79,6,279,2024-11-05 08:00:00,2024,11,45,1,8,4,3,4,La clase fue muy dinámica e interesante,positivo,0.784,0.33,0.141,0.255,0.049,0.225,feliz,0.75,0.5,0.75,True,False
80,5,178,2024-04-10 11:00:00,2024,4,15,2,11,4,5,4,"Excelente clase, muy clara la explicación",positivo,0.793,0.079,0.231,0.291,0.276,0.123,triste,0.75,1.0,0.75,True,False
81,9,242,2024-11-09 15:00:00,2024,11,45,5,15,3,3,4,Excelente manejo del tiempo y ejemplos,positivo,0.74,0.17,0.164,0.118,0.171,0.377,sorprendido,0.5,0.5,0.75,True,False
82,8,463,2024-03-13 15:00:00,2024,3,11,2,15,4,5,5,El docente domina el tema perfectamente,positivo,0.867,0.182,0.245,0.282,0.216,0.076,triste,0.75,1.0,1.0,True,False
83,23,271,2024-07-07 17:00:00,2024,7,27,6,17,3,5,4,"Más o menos, algunos conceptos poco claros",neutral,0.52,0.238,0.221,0.26,0.218,0.062,triste,0.5,1.0,0.75,True,False
84,1,96,2024-12-06 16:00:00,2024,12,49,4,16,5,4,5,Clase muy bien estructurada y organizada,positivo,0.899,0.361,0.194,0.147,0.087,0.211,feliz,1.0,0.75,1.0,True,False
85,29,446,2024-07-22 09:00:00,2024,7,30,0,9,3,5,5,Muy difícil seguir el ritmo de la clase,negativo,0.294,0.275,0.262,0.164,0.168,0.13,feliz,0.5,1.0,1.0,True,False
86,16,259,2024-10-05 18:00:00,2024,10,40,5,18,3,4,5,"Aprendí mucho hoy, muy buena didáctica",positivo,0.879,0.21,0.032,0.271,0.278,0.209,enojado,0.5,0.75,1.0,True,False
87,19,175,2024-05-10 08:00:00,2024,5,19,4,8,5,5,4,"Más o menos, algunos conceptos poco claros",neutral,0.54,0.151,0.229,0.228,0.289,0.103,enojado,1.0,1.0,0.75,True,False
88,5,65,2024-07-14 18:00:00,2024,7,28,6,18,4,3,4,El tema es interesante pero la clase fue larga,neutral,0.505,0.107,0.278,0.139,0.119,0.358,sorprendido,0.75,0.5,0.75,True,False
89,29,377,2024-03-17 09:00:00,2024,3,11,6,9,2,4,1,"Me quedó muy claro el tema, gracias",positivo,0.68,0.074,0.164,0.281,0.062,0.419,sorprendido,0.25,0.75,0.0,True,False
90,23,43,2024-05-31 18:00:00,2024,5,22,4,18,4,5,4,"La clase estuvo bien, aunque faltaron más ejemplos",neutral,0.388,0.197,0.16,0.284,0.287,0.071,enojado,0.75,1.0,0.75,True,False
91,9,449,2024-03-09 15:00:00,2024,3,10,5,15,2,5,3,"Regular, podría mejorar el ritmo",neutral,0.356,0.273,0.305,0.112,0.223,0.087,neutral,0.25,1.0,0.5,True,False
92,8,420,2024-07-25 18:00:00,2024,7,30,3,18,5,4,5,La clase fue aburrida y poco dinámica,negativo,0.091,0.243,0.217,0.256,0.054,0.229,triste,1.0,0.75,1.0,True,False
93,21,167,2024-08-08 16:00:00,2024,8,32,3,16,5,3,5,"Me quedó muy claro el tema, gracias",positivo,0.769,0.257,0.29,0.11,0.269,0.074,neutral,1.0,0.5,1.0,True,False
94,29,440,2024-05-24 10:00:00,2024,5,21,4,10,4,4,4,"Más o menos, algunos conceptos poco claros",neutral,0.536,0.234,0.09,0.068,0.293,0.315,sorprendido,0.75,0.75,0.75,True,False
95,27,279,2024-06-10 16:00:00,2024,6,24,0,16,5,4,5,Excelente manejo del tiempo y ejemplos,positivo,0.911,0.24,0.121,0.156,0.293,0.189,enojado,1.0,0.75,1.0,True,False
96,4,207,2024-08-11 10:00:00,2024,8,32,6,10,4,2,4,El tema es interesante pero la clase fue larga,neutral,0.531,0.065,0.21,0.193,0.269,0.263,enojado,0.75,0.25,0.75,True,False
97,6,361,2024-03-10 07:00:00,2024,3,10,6,7,3,5,4,"No se escuchaba bien, problemas técnicos",negativo,0.152,0.298,0.143,0.151,0.164,0.244,feliz,0.5,1.0,0.75,True,False
98,2,333,2024-04-05 10:00:00,2024,4,14,4,10,3,3,4,"Excelente clase, muy clara la explicación",positivo,0.728,0.255,0.166,0.198,0.122,0.259,sorprendido,0.5,0.5,0.75,True,False
99,5,289,2024-05-09 08:00:00,2024,5,19,3,8,4,5,4,"Excelente clase, muy clara la explicación",positivo,0.863,0.131,0.141,0.172,0.288,0.269,enojado,0.75,1.0,0.75,True,False
100,13,62,2024-04-26 11:00:00,2024,4,17,4,11,5,5,4,Clase muy bien estructurada y organizada,positivo,0.843,0.161,0.089,0.176,0.215,0.359,sorprendido,1.0,1.0,0.75,True,False
101,22,414,2024-08-15 15:00:00,2024,8,33,3,15,1,5,4,Excelente manejo del tiempo y ejemplos,positivo,0.899,0.356,0.189,0.265,0.143,0.047,feliz,0.0,1.0,0.75,True,False
102,16,89,2024-06-16 15:00:00,2024,6,24,6,15,5,4,5,Excelente manejo del tiempo y ejemplos,positivo,0.879,0.453,0.035,0.283,0.197,0.032,feliz,1.0,0.75,1.0,True,False
103,24,282,2024-12-08 14:00:00,2024,12,49,6,14,3,2,5,Muy buena metodología del docente,positivo,0.778,0.254,0.356,0.035,0.352,0.003,neutral,0.5,0.25,1.0,True,False
104,30,41,2024-10-18 13:00:00,2024,10,42,4,13,3,5,4,Clase muy bien estructurada y organizada,positivo,0.75,0.194,0.173,0.096,0.254,0.284,sorprendido,0.5,1.0,0.75,True,False
105,24,219,2024-03-12 18:00:00,2024,3,11,1,18,4,2,4,El docente domina el tema perfectamente,positivo,0.696,0.262,0.114,0.262,0.195,0.167,feliz,0.75,0.25,0.75,True,False
106,2,74,2024-04-20 18:00:00,2024,4,16,5,18,4,2,3,La clase fue aburrida y poco dinámica,negativo,0.09,0.108,0.241,0.222,0.202,0.227,neutral,0.75,0.25,0.5,True,False
107,10,152,2024-11-13 15:00:00,2024,11,46,2,15,4,4,3,El docente domina el tema perfectamente,positivo,0.75,0.343,0.064,0.017,0.295,0.281,feliz,0.75,0.75,0.5,True,False
108,21,13,2024-06-18 11:00:00,2024,6,25,1,11,4,4,4,"Me quedó muy claro el tema, gracias",positivo,0.782,0.105,0.212,0.274,0.127,0.282,sorprendido,0.75,0.75,0.75,True,False
109,12,39,2024-09-27 10:00:00,2024,9,39,4,10,4,4,4,La clase fue muy dinámica e interesante,positivo,0.673,0.199,0.096,0.31,0.082,0.314,sorprendido,0.75,0.75,0.75,True,False
110,6,416,2024-04-30 17:00:00,2024,4,18,1,17,4,5,5,El docente domina el tema perfectamente,positivo,0.881,0.342,0.052,0.157,0.156,0.293,feliz,0.75,1.0,1.0,True,False
111,23,126,2024-04-03 16:00:00,2024,4,14,2,16,2,2,4,El docente domina el tema perfectamente,positivo,0.82,0.297,0.069,0.124,0.347,0.163,enojado,0.25,0.25,0.75,True,False
112,11,17,2024-03-30 14:00:00,2024,3,13,5,14,3,5,5,"Bien en general, aunque faltó práctica",neutral,0.367,0.039,0.157,0.176,0.249,0.378,sorprendido,0.5,1.0,1.0,True,False
113,10,443,2024-12-15 15:00:00,2024,12,50,6,15,4,3,4,"No entendí casi nada, muy confuso",negativo,0.313,0.139,0.248,0.23,0.112,0.27,sorprendido,0.75,0.5,0.75,True,False
114,13,456,2024-11-23 09:00:00,2024,11,47,5,9,4,5,5,"Me quedó muy claro el tema, gracias",positivo,0.781,0.182,0.228,0.276,0.201,0.112,triste,0.75,1.0,1.0,True,False
115,21,289,2024-10-06 12:00:00,2024,10,40,6,12,5,4,2,El docente domina el tema perfectamente,positivo,0.864,0.029,0.322,0.292,0.315,0.041,neutral,1.0,0.75,0.25,True,False
116,15,21,2024-05-13 13:00:00,2024,5,20,0,13,2,5,4,"Me quedó muy claro el tema, gracias",positivo,0.685,0.219,0.192,0.214,0.216,0.158,feliz,0.25,1.0,0.75,True,False
117,19,253,2024-09-22 12:00:00,2024,9,38,6,12,5,4,5,Entendí el tema pero fue un poco rápido,neutral,0.526,0.22,0.314,0.295,0.12,0.051,neutral,1.0,0.75,1.0,True,False
118,24,291,2024-05-24 12:00:00,2024,5,21,4,12,5,4,3,"Aprendí mucho hoy, muy buena didáctica",positivo,0.669,0.28,0.1,0.107,0.396,0.118,enojado,1.0,0.75,0.5,True,False
119,13,280,2024-08-28 07:00:00,2024,8,35,2,7,1,4,4,"Excelente clase, muy clara la explicación",positivo,0.858,0.04,0.163,0.008,0.341,0.448,sorprendido,0.0,0.75,0.75,True,False
120,26,109,2024-12-11 08:00:00,2024,12,50,2,8,4,4,5,El tema es interesante pero la clase fue larga,neutral,0.471,0.223,0.293,0.048,0.173,0.262,neutral,0.75,0.75,1.0,True,False
121,23,146,2024-12-07 08:00:00,2024,12,49,5,8,5,2,5,Muy buena metodología del docente,positivo,0.786,0.102,0.089,0.59,0.167,0.051,triste,1.0,0.25,1.0,True,False
122,6,478,2024-12-07 17:00:00,2024,12,49,5,17,4,4,2,El docente domina el tema perfectamente,positivo,0.661,0.09,0.358,0.095,0.023,0.434,sorprendido,0.75,0.75,0.25,True,False
123,28,143,2024-05-30 13:00:00,2024,5,22,3,13,3,5,5,El docente domina el tema perfectamente,positivo,0.81,0.225,0.331,0.086,0.181,0.176,neutral,0.5,1.0,1.0,True,False
124,4,11,2024-04-23 09:00:00,2024,4,17,1,9,4,2,5,Excelente manejo del tiempo y ejemplos,positivo,0.762,0.208,0.037,0.237,0.243,0.275,sorprendido,0.75,0.25,1.0,True,False
125,7,391,2024-03-28 16:00:00,2024,3,13,3,16,5,4,3,Excelente manejo del tiempo y ejemplos,positivo,0.798,0.14,0.116,0.288,0.453,0.003,enojado,1.0,0.75,0.5,True,False
126,20,243,2024-06-03 11:00:00,2024,6,23,0,11,5,5,5,"No entendí casi nada, muy confuso",negativo,0.194,0.107,0.105,0.212,0.285,0.291,sorprendido,1.0,1.0,1.0,True,False
127,18,62,2024-10-15 16:00:00,2024,10,42,1,16,5,5,4,"Más o menos, algunos conceptos poco claros",neutral,0.517,0.191,0.182,0.281,0.055,0.29,sorprendido,1.0,1.0,0.75,True,False
128,3,146,2024-11-21 15:00:00,2024,11,47,3,15,5,3,5,"Excelente clase, muy clara la explicación",positivo,0.871,0.29,0.319,0.214,0.032,0.145,neutral,1.0,0.5,1.0,True,False
129,19,153,2024-06-28 10:00:00,2024,6,26,4,10,4,4,3,"Aprendí mucho hoy, muy buena didáctica",positivo,0.776,0.254,0.076,0.29,0.011,0.369,sorprendido,0.75,0.75,0.5,True,False
130,30,93,2024-06-08 12:00:00,2024,6,23,5,12,5,4,3,"Más o menos, algunos conceptos poco claros",neutral,0.523,0.304,0.119,0.16,0.003,0.415,sorprendido,1.0,0.75,0.5,True,False
131,15,281,2024-04-17 08:00:00,2024,4,16,2,8,5,4,4,"Bien en general, aunque faltó práctica",neutral,0.524,0.092,0.235,0.309,0.09,0.274,triste,1.0,0.75,0.75,True,False
132,13,409,2024-07-20 13:00:00,2024,7,29,5,13,4,5,4,"Excelente clase, muy clara la explicación",positivo,0.741,0.419,0.11,0.15,0.314,0.007,feliz,0.75,1.0,0.75,True,False
133,25,189,2024-06-15 10:00:00,2024,6,24,5,10,5,4,5,El docente domina el tema perfectamente,positivo,0.788,0.247,0.239,0.216,0.013,0.285,sorprendido,1.0,0.75,1.0,True,False
134,9,134,2024-10-15 07:00:00,2024,10,42,1,7,4,4,2,"Excelente clase, muy clara la explicación",positivo,0.857,0.177,0.29,0.047,0.188,0.298,sorprendido,0.75,0.75,0.25,True,False
